text,label1,label2,label3,labeled_list
"Gente, é normal sentir falta de apetite e muita sede, quem tem diabetes? Porque será que estou sentindo isso?",nervosismo,confusão,nan,"['nervosismo', 'confusão']"
Qual exercício físico vocês fazem?,curiosidade,nan,nan,['curiosidade']
"Estou passando mal sem entender porquê, parece que me jogaram água, estou suando muito. Alguém já passou ou passa por isso? E a que se deve?",confusão,nervosismo,nan,"['confusão', 'nervosismo']"
Quero saber se abobrinha empanada e assada no forno faz mal pra diabético. Ficou uma delícia.,curiosidade,orgulho,desejo,"['curiosidade', 'orgulho', 'desejo']"
"Alguém que era diabético e, depois de dietas e atividades, deixou de ser diabético? Ou seja, consegui alcançar a remissão da doença?",otimismo,curiosidade,nan,"['otimismo', 'curiosidade']"
Diabéticos podem comer batata frita?,desejo,nan,nan,['desejo']
"Olá, grupo! Dúvida: Um resultado de 152 em jejum de 12h pode ter a ver apenas com a alimentação anterior a esse período do jejum? Pode não ser diabético, apesar dessa taxa? Minha consulta é na segunda e estou muito ansiosa e cheia de dúvidas.",nervosismo,nan,nan,['nervosismo']
Quem é diabético pode comer tapioca?,desejo,nan,nan,['desejo']
Queria saber sobre cetoacidose e se é possível tratar em casa.,curiosidade,nan,nan,['curiosidade']
"Como as fitas para medir diabetes são caras :/ :/ Com 50 está R$ 100,00. O SUS só fornece pra quem usa insulina.",desaprovação,aborrecimento,nan,"['desaprovação', 'aborrecimento']"
Alguém no grupo toma o medicamento Glyxambi?,curiosidade,nan,nan,['curiosidade']
"Eu vi algo relacionado ao vinagre de maçã. Ele é bom para quem tem ácido úrico, é isso? Boa noite.",curiosidade,nan,nan,['curiosidade']
"Meu cortisol basal está 37, como baixar?",nervosismo,nan,nan,['nervosismo']
"Eu tenho 34 anos e não sei controlar meu diabetes. Tenho retinopatia moderada. A minha médica pediu um exame de imagem para que ela possa seguir o tratamento, mas o hospital até hoje não me chamou pra fazer.",decepção,aborrecimento,nan,"['decepção', 'aborrecimento']"
Boa tarde. Gostaria de saber se suco de laranja aumenta a diabetes. A minha hoje estava 223.,nervosismo,surpresa,nan,"['nervosismo', 'surpresa']"
"Meus pés todo tempo estão dormentes, e ficam quentes também. Tem algo que posso fazer para melhorar esse problema?",aborrecimento,nan,nan,['aborrecimento']
Existe algum remédio em comprimido para corrimento para diabético?,curiosidade,nan,nan,['curiosidade']
"Tomo Metformina pela manhã e, às vezes, demoro a tomar café. Fico com ânsia de vômito. Acontece isso com alguém?",curiosidade,nan,nan,['curiosidade']
Podemos comer massa ou macarrão?,desejo,nan,nan,['desejo']
"Dicas para antes da consulta médica? Qual é o melhor remédio para controle? Destes comprados na farmácia, não do SUS.",curiosidade,nervosismo,nan,"['curiosidade', 'nervosismo']"
Boa tarde! Alguém descobriu diabetes através de um machucado nos pés ou problemas nas unhas?,nan,nan,nan,['neutro']
Quem tem diabetes pode comer ovo frito?,desejo,nan,nan,['desejo']
"Sinto como se meus pés estivessem com meias. Sou diabético desde o ano passado, tipo 2.",aborrecimento,nan,nan,['aborrecimento']
"Boa noite. Fui diagnosticada com diabetes tipo 2 e pressão alta descobertos através de uma ameaça de infarto. Faço uso do Glifage XR 500 mg duas vezes ao dia. Gostaria de saber por que o aparelho e as fitas para medição da glicemia só são ofertadas pelo SUS para pessoas que fazem uso da insulina injetável; para todos que fazem o uso de remédios orais, não é cedido pelo SUS, sendo que as fitas são caríssimas, bem como o aparelho. Por que será que existe essa acepção de pessoas?",desaprovação,aborrecimento,nan,"['desaprovação', 'aborrecimento']"
"Isso é muito triste. Tenho 52 anos, tenho diabetes há 8 anos e meus rins pararam de funcionar. Já faz 2 anos que estou fazendo hemodiálise. Nunca senti nada, mas a diabetes acabou com o funcionamento dos meus rins. Fiquem atentos.",tristeza,zelo,nan,"['tristeza', 'zelo']"
